"SOURCE","Source","BRANCH","Branch","TYPEXP","Type of Expenditure","TYPROG","Type of Programme","UNIT","Measure","COUNTRY","Country","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","ITA","Italy","1997","1997","PC","Percentage","0","Units",,,19.913,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","ITA","Italy","1999","1999","PC","Percentage","0","Units",,,20.371,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","ITA","Italy","2001","2001","PC","Percentage","0","Units",,,20.651,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","ITA","Italy","2003","2003","PC","Percentage","0","Units",,,21.558,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","ITA","Italy","2005","2005","PC","Percentage","0","Units",,,21.894,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","ITA","Italy","2007","2007","PC","Percentage","0","Units",,,21.8,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","ITA","Italy","2009","2009","PC","Percentage","0","Units",,,24.747,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","ITA","Italy","2011","2011","PC","Percentage","0","Units",,,23.994,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","ITA","Italy","2013","2013","PC","Percentage","0","Units",,,25.085,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","ITA","Italy","2015","2015","PC","Percentage","0","Units",,,25.116,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","ITA","Italy","2017","2017","PC","Percentage","0","Units",,,24.519,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","ITA","Italy","2019","2019","PC","Percentage","0","Units",,,24.442,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","USA","United States","1995","1995","PC","Percentage","0","Units",,,22.484,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","USA","United States","1997","1997","PC","Percentage","0","Units",,,22.23,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","USA","United States","1999","1999","PC","Percentage","0","Units",,,22.024,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","USA","United States","2001","2001","PC","Percentage","0","Units",,,23.341,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","USA","United States","2003","2003","PC","Percentage","0","Units",,,25.2,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","USA","United States","2005","2005","PC","Percentage","0","Units",,,24.861,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","USA","United States","2007","2007","PC","Percentage","0","Units",,,25.358,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","USA","United States","2009","2009","PC","Percentage","0","Units",,,27.973,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","USA","United States","2011","2011","PC","Percentage","0","Units",,,29.047,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","USA","United States","2013","2013","PC","Percentage","0","Units",,,28.73,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","USA","United States","2015","2015","PC","Percentage","0","Units",,,29.142,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","USA","United States","2017","2017","PC","Percentage","0","Units",,,29.405,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","POL","Poland","2005","2005","PC","Percentage","0","Units",,,17.233,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","POL","Poland","2007","2007","PC","Percentage","0","Units",,,16.026,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","POL","Poland","2009","2009","PC","Percentage","0","Units",,,18.358,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","POL","Poland","2011","2011","PC","Percentage","0","Units",,,16.594,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","POL","Poland","2013","2013","PC","Percentage","0","Units",,,17.533,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","POL","Poland","2015","2015","PC","Percentage","0","Units",,,17.035,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","POL","Poland","2017","2017","PC","Percentage","0","Units",,,17.291,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","POL","Poland","2019","2019","PC","Percentage","0","Units",,,17.96,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","LUX","Luxembourg","2003","2003","PC","Percentage","0","Units",,,18.843,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","LUX","Luxembourg","2005","2005","PC","Percentage","0","Units",,,18.405,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","LUX","Luxembourg","2007","2007","PC","Percentage","0","Units",,,16.314,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","LUX","Luxembourg","2009","2009","PC","Percentage","0","Units",,,18.809,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","LUX","Luxembourg","2011","2011","PC","Percentage","0","Units",,,16.174,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","LUX","Luxembourg","2013","2013","PC","Percentage","0","Units",,,16.785,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","LUX","Luxembourg","2015","2015","PC","Percentage","0","Units",,,16.975,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","LUX","Luxembourg","2017","2017","PC","Percentage","0","Units",,,17.239,,
