LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUT,TRADEGOODSERV,IMP,AGRWTH,A,1995,5.904883257,E
AUT,TRADEGOODSERV,IMP,AGRWTH,A,1996,4.170879275,
AUT,TRADEGOODSERV,IMP,AGRWTH,A,1997,7.270200711,
AUT,TRADEGOODSERV,IMP,AGRWTH,A,1998,5.757657249,
AUT,TRADEGOODSERV,IMP,AGRWTH,A,1999,4.06380707,
AUT,TRADEGOODSERV,IMP,AGRWTH,A,2000,10.18626733,
AUT,TRADEGOODSERV,IMP,AGRWTH,A,2001,5.192321794,
AUT,TRADEGOODSERV,IMP,AGRWTH,A,2002,0.290822726,
AUT,TRADEGOODSERV,IMP,AGRWTH,A,2003,3.507412996,
AUT,TRADEGOODSERV,IMP,AGRWTH,A,2004,7.975144598,
AUT,TRADEGOODSERV,IMP,AGRWTH,A,2005,5.455040639,
AUT,TRADEGOODSERV,IMP,AGRWTH,A,2006,5.854556834,
AUT,TRADEGOODSERV,IMP,AGRWTH,A,2007,5.63498584,
AUT,TRADEGOODSERV,IMP,AGRWTH,A,2008,0.954256343,
AUT,TRADEGOODSERV,IMP,AGRWTH,A,2009,-11.89921767,
AUT,TRADEGOODSERV,IMP,AGRWTH,A,2010,11.96951586,
AUT,TRADEGOODSERV,IMP,AGRWTH,A,2011,5.954271602,
AUT,TRADEGOODSERV,IMP,AGRWTH,A,2012,0.923627412,
AUT,TRADEGOODSERV,IMP,AGRWTH,A,2013,0.694051634,
AUT,TRADEGOODSERV,IMP,AGRWTH,A,2014,2.956619555,
AUT,TRADEGOODSERV,IMP,AGRWTH,A,2015,3.630202134,
AUT,TRADEGOODSERV,IMP,AGRWTH,A,2016,3.725740615,
AUT,TRADEGOODSERV,IMP,AGRWTH,A,2017,5.289217846,
AUT,TRADEGOODSERV,IMP,AGRWTH,A,2018,5.347690212,
AUT,TRADEGOODSERV,IMP,AGRWTH,A,2019,2.087125519,
AUT,TRADEGOODSERV,IMP,AGRWTH,A,2020,-9.229351165,
FRA,TRADEGOODSERV,IMP,AGRWTH,A,1995,7.522724546,
FRA,TRADEGOODSERV,IMP,AGRWTH,A,1996,2.445829395,
FRA,TRADEGOODSERV,IMP,AGRWTH,A,1997,7.975597966,
FRA,TRADEGOODSERV,IMP,AGRWTH,A,1998,11.90040798,
FRA,TRADEGOODSERV,IMP,AGRWTH,A,1999,6.950599996,
FRA,TRADEGOODSERV,IMP,AGRWTH,A,2000,15.35348852,
FRA,TRADEGOODSERV,IMP,AGRWTH,A,2001,2.381768021,
FRA,TRADEGOODSERV,IMP,AGRWTH,A,2002,1.945585181,
FRA,TRADEGOODSERV,IMP,AGRWTH,A,2003,0.893617114,
FRA,TRADEGOODSERV,IMP,AGRWTH,A,2004,6.203819971,
FRA,TRADEGOODSERV,IMP,AGRWTH,A,2005,6.320284087,
FRA,TRADEGOODSERV,IMP,AGRWTH,A,2006,5.600583874,
FRA,TRADEGOODSERV,IMP,AGRWTH,A,2007,5.755701866,
FRA,TRADEGOODSERV,IMP,AGRWTH,A,2008,1.295002631,
FRA,TRADEGOODSERV,IMP,AGRWTH,A,2009,-9.35456268,
FRA,TRADEGOODSERV,IMP,AGRWTH,A,2010,8.892522542,
FRA,TRADEGOODSERV,IMP,AGRWTH,A,2011,5.837368308,
FRA,TRADEGOODSERV,IMP,AGRWTH,A,2012,0.200223626,
FRA,TRADEGOODSERV,IMP,AGRWTH,A,2013,2.418481082,
FRA,TRADEGOODSERV,IMP,AGRWTH,A,2014,4.898686367,
FRA,TRADEGOODSERV,IMP,AGRWTH,A,2015,5.898053709,
FRA,TRADEGOODSERV,IMP,AGRWTH,A,2016,2.928765311,
FRA,TRADEGOODSERV,IMP,AGRWTH,A,2017,4.486842105,
FRA,TRADEGOODSERV,IMP,AGRWTH,A,2018,3.079156145,
FRA,TRADEGOODSERV,IMP,AGRWTH,A,2019,2.344320649,
FRA,TRADEGOODSERV,IMP,AGRWTH,A,2020,-12.78739568,
FIN,TRADEGOODSERV,IMP,AGRWTH,A,1995,8.189025662,
FIN,TRADEGOODSERV,IMP,AGRWTH,A,1996,7.23491788,
FIN,TRADEGOODSERV,IMP,AGRWTH,A,1997,11.88106942,
FIN,TRADEGOODSERV,IMP,AGRWTH,A,1998,8.473531933,
FIN,TRADEGOODSERV,IMP,AGRWTH,A,1999,4.287372503,
FIN,TRADEGOODSERV,IMP,AGRWTH,A,2000,14.86252871,
FIN,TRADEGOODSERV,IMP,AGRWTH,A,2001,1.383419582,
FIN,TRADEGOODSERV,IMP,AGRWTH,A,2002,4.292919022,
FIN,TRADEGOODSERV,IMP,AGRWTH,A,2003,4.108413766,
FIN,TRADEGOODSERV,IMP,AGRWTH,A,2004,8.124812706,
FIN,TRADEGOODSERV,IMP,AGRWTH,A,2005,11.18136151,
FIN,TRADEGOODSERV,IMP,AGRWTH,A,2006,6.590324842,
FIN,TRADEGOODSERV,IMP,AGRWTH,A,2007,7.381422203,
FIN,TRADEGOODSERV,IMP,AGRWTH,A,2008,7.965697951,
FIN,TRADEGOODSERV,IMP,AGRWTH,A,2009,-16.99761716,
FIN,TRADEGOODSERV,IMP,AGRWTH,A,2010,6.303637883,
FIN,TRADEGOODSERV,IMP,AGRWTH,A,2011,6.207044367,
FIN,TRADEGOODSERV,IMP,AGRWTH,A,2012,1.123383874,
FIN,TRADEGOODSERV,IMP,AGRWTH,A,2013,0.125059869,
FIN,TRADEGOODSERV,IMP,AGRWTH,A,2014,-0.896914614,
FIN,TRADEGOODSERV,IMP,AGRWTH,A,2015,1.962913801,
FIN,TRADEGOODSERV,IMP,AGRWTH,A,2016,5.721461728,
FIN,TRADEGOODSERV,IMP,AGRWTH,A,2017,4.313540138,
