"LOCATION","Country","MEASURE","Measure","AGE","Age group","DEFINITION","Definition","METHODO","Methodology","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2008","2008","NBR","Number","0","Units",,,4632778,,
"BEL","Belgium","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2009","2009","NBR","Number","0","Units",,,4677368,,
"BEL","Belgium","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2010","2010","NBR","Number","0","Units",,,4728456,,
"BEL","Belgium","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2011","2011","NBR","Number","0","Units",,,4762833,,
"BEL","Belgium","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2012","2012","NBR","Number","0","Units",,,4788921,,
"BEL","Belgium","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2013","2013","NBR","Number","0","Units",,,4811428,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1980","1980","CAD","Canadian Dollar","0","Units",,,12753,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1981","1981","CAD","Canadian Dollar","0","Units",,,14273,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1982","1982","CAD","Canadian Dollar","0","Units",,,15440,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1983","1983","CAD","Canadian Dollar","0","Units",,,15965,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1984","1984","CAD","Canadian Dollar","0","Units",,,16819,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1985","1985","CAD","Canadian Dollar","0","Units",,,17791,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1986","1986","CAD","Canadian Dollar","0","Units",,,18725,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1987","1987","CAD","Canadian Dollar","0","Units",,,19529,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1988","1988","CAD","Canadian Dollar","0","Units",,,20845,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1989","1989","CAD","Canadian Dollar","0","Units",,,22395,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1990","1990","CAD","Canadian Dollar","0","Units",,,22713,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1991","1991","CAD","Canadian Dollar","0","Units",,,23069,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1992","1992","CAD","Canadian Dollar","0","Units",,,23453,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1993","1993","CAD","Canadian Dollar","0","Units",,,23532,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1994","1994","CAD","Canadian Dollar","0","Units",,,23723,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1995","1995","CAD","Canadian Dollar","0","Units",,,24221,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1996","1996","CAD","Canadian Dollar","0","Units",,,24698,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1997","1997","CAD","Canadian Dollar","0","Units",,,25357,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1998","1998","CAD","Canadian Dollar","0","Units",,,26893,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","1999","1999","CAD","Canadian Dollar","0","Units",,,27730,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2000","2000","CAD","Canadian Dollar","0","Units",,,29390,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2001","2001","CAD","Canadian Dollar","0","Units",,,31260,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2002","2002","CAD","Canadian Dollar","0","Units",,,31972,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2003","2003","CAD","Canadian Dollar","0","Units",,,32682,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2004","2004","CAD","Canadian Dollar","0","Units",,,34176,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2005","2005","CAD","Canadian Dollar","0","Units",,,35407,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2006","2006","CAD","Canadian Dollar","0","Units",,,36723,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2007","2007","CAD","Canadian Dollar","0","Units",,,38842,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2008","2008","CAD","Canadian Dollar","0","Units",,,40628,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2009","2009","CAD","Canadian Dollar","0","Units",,,40841,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2010","2010","CAD","Canadian Dollar","0","Units",,,41765,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2011","2011","CAD","Canadian Dollar","0","Units",,,43262,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","CAD","Canadian Dollar","0","Units",,,44689,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2013","2013","CAD","Canadian Dollar","0","Units",,,45898,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2014","2014","CAD","Canadian Dollar","0","Units",,,47229,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","CAD","Canadian Dollar","0","Units",,,47822,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","CAD","Canadian Dollar","0","Units",,,48445,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2017","2017","CAD","Canadian Dollar","0","Units",,,50832,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","CAD","Canadian Dollar","0","Units",,,52214,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2019","2019","CAD","Canadian Dollar","0","Units",,,53548,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2020","2020","CAD","Canadian Dollar","0","Units",,,57041,,
"CAN","Canada","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","1980","1980","CAD","Canadian Dollar","0","Units",,,12442,,
